Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
When was the last time you ate?,"Mo jẹun ní àfẹ̀mọ́jú lónìí, kò sì ju bẹ́ẹ̀ lọ.","I ate this morning, and nothing else since then.","I ate in morning this, not also passed that."
It seems your blood pressure is quite high. Do you often feel lightheaded or dizzy?,"Bẹ́ẹ̀ni, mo máa ń rí bẹ́ẹ̀ gan-an, pàápàá nígbà tí mo bá dìde ní kíákíá.","Yes, I often feel that way, especially when I stand up quickly.","Yes, I usually see thus very much, especially when I would stand up quickly."
Please come back in two weeks for a follow-up appointment.,"Ó dára, mo máa wá padà ní ọ̀sẹ̀ méjì báyìí, bí ẹ ti wí.","Okay, I will come back in two weeks, as you said.","It is good, I will come back in week two now, as you have said."
Is the rash itchy or painful?,"Ó yún mí gan-an, Dokítà, kò sì sí bí mo ṣe lè dẹ́kun rẹ̀.","It is very itchy, Doctor, and I can't stop scratching it.","It itches me very much, Doctor, there is also no how I can stop it."
Have you experienced any changes in your vision?,"Bẹ́ẹ̀ni, ojú mi ń rìwòrìwò, ó sì ti di bárakú fún mi láti ríran.","Yes, my vision is blurry, and it has become difficult for me to see.","Yes, eyes my are blurring, it and has become difficult for me to see."
How many weeks pregnant are you now?,"Ó ti tó ọ̀sẹ̀ méjìlélógún báyìí, Dókítà. Mo rò pé gbogbo nǹkan yóò lọ déédéé.","It's about twenty-two weeks now, Doctor. I hope everything goes smoothly.","It has reached week twenty-two now, Doctor. I think that all things will go smoothly."
Have you experienced any vomiting or diarrhea?,"Bẹ́ẹ̀ni, mo ti ń bì àti yàgbẹ́ láti àárọ̀ ọjọ́ méjì sẹ́yìn, ó sì ti sọ mí di aláìlágbára.","Yes, I have been vomiting and having diarrhea since two mornings ago, and it has made me weak.","Yes, I have been vomiting and stooling from morning day two back, it also has made me weak."
"How old is your child, and what is her main symptom?",Ọmọ mi jẹ́ ọmọ ọdún méjì ààbọ̀. Ibà líle ni ó ti ń mú un láti òru àná.,My child is two and a half years old. She has had a high fever since last night.,My child is child year two and half. Fever strong is what has been taking her since night yesterday.
We need to perform surgery. Do you understand the procedure?,"Ó dára, mo gbọ́ díẹ̀, ṣùgbọ́n ṣé kò sí ewu kankan tí ó lágbára bí?","Okay, I understand a bit, but are there no major risks?","It is good, I hear a little, but is there no danger any that is strong?"
Where exactly is the pain located?,"Ìbàdí mi gbogbo ló ń dún mí, ó sì máa ń pọ́n mi nínú.","My entire abdomen is painful, and I also experience internal cramping.","Abdomen my all is what is aching me, it also usually twists me inside."
Are you currently pregnant?,"Bẹ́ẹ̀ni, lóyún ni mí, àti pé ó ti tó oṣù márùnún.","Yes, I am pregnant, and I am approximately five months along.","Yes, pregnant is I, and that it has been month five."
Do you have a history of diabetes in your family?,"Bẹ́ẹ̀ni, ìyá mi ní àrùn súgà, òun náà sì ni ó pa á.","Yes, my mother had diabetes, and that's what killed her.","Yes, mother my had disease sugar, it also is what killed her."
What happened to you? Can you tell me exactly what caused this injury?,Ọkọ̀ kan gbá mi nígbà tí mo ń kọjá òpópónà.,A car hit me when I was crossing the road.,Car one hit me when I was crossing road.
"Are you currently taking any other medications, including herbal remedies?","Rárá, kò sí oògùn mìíràn tí mo ń lò, àfi èyí tí ẹ fún mi lásìkò àtọ̀gbẹ náà.","No, I am not using any other medication, except the one you gave me for diabetes.","No, there is no medicine other that I am using, except this that you gave me at time diabetes the."
Do you have any family history of high blood pressure?,"Bẹ́ẹ̀ni, bàbá mi àti ìyá mi méjèèjì ní ẹ̀jẹ̀ ríru.","Yes, both my father and my mother had high blood pressure.","Yes, father my and mother my both had blood high."
Is your child refusing to eat or drink anything?,"Bẹ́ẹ̀ni, Dókítà. Kò fẹ́ jẹun rárá, kò sì gbẹ́nu sí omi pàápàá.","Yes, Doctor. He refuses to eat at all, and he won't even take water.","Yes, Doctor. He does not want to eat at all, he also does not put mouth in water even."
How are you feeling after the surgery?,"Ara mi ti bẹ̀rẹ̀ sí í dára díẹ̀, ṣùgbọ́n ìrora náà ṣì wà níbẹ̀ díẹ̀.","My body has started to feel a little better, but the pain is still there a bit.","Body my has started to be good a little, but pain the still is there a little."
"We understand your preference, but we must prioritize your safety and the baby's. We will explain the risks and benefits.","Ó dára, ẹ bá mi ṣàlàyé rẹ̀ dáadáa. Ṣé gbogbo rẹ̀ yóò dára?","Okay, please explain it to me properly. Will everything be alright?","It is good, you for me explain it well. Will all of it will be good?"
Are you pregnant or could you be pregnant?,"Bẹ́ẹ̀ni, mo rò pé mo lè wà ní ipò aboyún, nítorí àmì mi kò tíì dé.","Yes, I think I might be pregnant, because my period hasn't arrived.","Yes, I think I can be in state pregnant, because period my has not yet arrived."
Is the baby moving well? Do you feel good movements?,"Bẹ́ẹ̀ ni, ọmọ náà ń rìn dáadáa. Ṣùgbọ́n mo ní ìrora ẹ̀yìn.","Yes, the baby is moving well. But I have back pain.","Yes, child the is moving well. But I have pain back."
How often do you take your blood pressure medication?,"Mo máa ń mú un lẹ́ẹ̀kan lójoojúmọ́, bí dókítà ti pa á láṣẹ.","I take it once daily, as prescribed by the doctor.","I usually take it once everyday, as doctor has ordered it."
Can you point to where exactly you feel the pain?,"Ìrora náà wà ní apá ọ̀tún ìhà ìdí mi, ó ń kán mi lára.","The pain is on the right side of my lower back, it's piercing me.","Pain the is at side right region back my, it is piercing me on body."
"Good morning, please tell me what brings you here today.","Ẹ káàárọ̀, mo ní òkòòkó burúkú lórí láti àná, kò sì fẹ́ lọ rárá.","Good morning, I've had a very bad headache since yesterday, and it won't go away at all.","Good morning, I have a bad headache on head since yesterday, and it not want to go at all."
Are you planning for another pregnancy?,"Bẹ́ẹ̀ni, Dókítà. Mo fẹ́ bímọ mìíràn, ṣùgbọ́n mo fẹ́ mọ̀ bóyá ó bójú mu.","Yes, Doctor. I want to have another child, but I want to know if it's safe.","Yes, Doctor. I want give birth to child another, but I want to know whether it is safe."
Does the pain radiate to any other part of your body?,Ó máa ń rọ́ láti ikùn mi sí apá ìsàlẹ̀ ẹ̀yìn mi àti sí orí itan mi.,It usually radiates from my abdomen to my lower back and to my thigh.,It usually is radiating from stomach my to part lower back my and to head thigh my.
"Keep the wound clean and dry, and change the dressing daily.",Ṣé kí n máa fọ yàǹtí náà mọ́ tótó kí n sì máa yí aṣọ tí wọ́n fi wé e padà lójúmọ́ ni?,Should I clean the wound thoroughly and change the dressing daily?,Should I keep washing wound that clean very and I keep changing cloth that they used to tie it back daily is?
What happened to your arm?,"Mo ṣubú ní òru àná, apá mi sì ti gbá. Ó wú, kò sì lè rìn mọ́.","I fell last night, and my arm is dislocated. It's swollen and can't move anymore.","I fell in night yesterday, arm my also has dislocated. It's swollen, it not can move anymore."
How long have you been feeling unwell?,"Ó ti lé ní ọ̀sẹ̀ kan báyìí, láti ìgbà tí mo ti jẹun lábọ́dé.","It has been over a week now, since I ate outside.","It has exceeded in week one now, since time I ate food outside."
How is your wound healing?,"Ó ti ń rọra sàn díẹ̀díẹ̀, kò sì sí ìgbóná mọ́.","It's healing gradually, and there's no more inflammation.","It has been slowly healing bit by bit, not also there heat anymore."
Have you noticed any lumps or bumps anywhere on your body?,"Bẹ́ẹ̀ni, mo ní òkùtù kan ní orí igbá-ẹ̀mí mi, kò sì rọ́jú.","Yes, I have a lump on my breast, and it's not painful.","Yes, I have a lump on my breast, it is not painful."
Are you experiencing any shortness of breath?,"Bẹ́ẹ̀ ni, mímí mi níṣòro gan-an, kódà nígbà tí mo bá ń sùn.","Yes, my breathing is very difficult, even when I'm sleeping.","Yes, breathing my is difficult very much, even when I am sleeping."
Did you take any malaria prophylaxis before your trip?,"Rárá, Dókítà. Mi ò mọ̀ pé ó yẹ kí n mu ún. Mo rò pé agbára ara mi tó.","No, Doctor. I didn't know I should take it. I thought my body's immunity was enough.","No, Doctor. I not knew that it right that I take it. I thought that power body my enough."
Have you experienced any dizziness or lightheadedness?,"Bẹ́ẹ̀ni, orí mi ń fì yẹ́rì yẹ́rì, mo sì ma ń rí pẹ́rẹ́wú bí mo bá gbìyànjú láti dìde lójijì.","Yes, my head feels dizzy, and I often feel faint if I try to stand up suddenly.","Yes, head my is shaking lightly, I also usually see spots if I try to stand up suddenly."
Is your child experiencing any side effects from the recent vaccination?,Ó ní ara gbígbóná kékeré àti ìwọ́hùn díẹ̀ ní ibi tí wọ́n ti fún un ní abẹ́rẹ́.,He has a slight fever and a bit of swelling where he received the injection.,He has body hot small and swelling a bit in place where they gave him injection.
Have you recently travelled outside the country or to a rural area?,"Rárá, mi ò lọ sí ibi kankan ju ìlú yìí lọ láìpẹ́.","No, I haven't travelled anywhere beyond this town recently.","No, I not go to place any more than town this to not long."
How are you feeling after childbirth?,"Ara mi ti bẹ̀rẹ̀ sí í yá díẹ̀, ṣùgbọ́n ọ̀fun mi kò yá.","I'm starting to feel a bit better, but my throat is still sore.","Body my has started to be well a-little, but throat my is not well."
Is your joint pain constant or does it come and go?,"Ó máa ń wá, ó sì máa ń lọ, ṣùgbọ́n ó máa ń le gan-an tí ó bá wá.","It comes and goes, but it's very severe when it comes.","It usually comes, it also usually goes, but it usually strong very much when it comes."
Are you experiencing any ringing in your ears or hearing loss?,"Bẹ́ẹ̀ni, etí mi máa ń dún sí mi, mo sì máa ń gbọ́ràn lásán nígbà míì.","Yes, my ears often ring, and sometimes I hear faint sounds.","Yes, ear my usually rings to me, I and usually hear sounds-for-nothing sometimes."
Do you have any questions for me today?,"Bẹ́ẹ̀ni, ṣé mo lè gbàwọn oògùn àkóbá tí mo nílò báyìí ni?","Yes, can I get the emergency medication I need right now?","Yes, can I receive the medicines emergency that I need now is?"
Are you currently on any other medications or herbal remedies?,"Bẹ́ẹ̀ni, mo ń lo àwọn ewébẹ̀ kan fún ibà, ṣùgbọ́n mo ti fi í sílẹ̀ báyìí.","Yes, I was using some herbal remedies for fever, but I have stopped them now.","Yes, I am using the herbs some for fever, but I have left it now."
Does anyone in your family have a history of high blood pressure?,"Bẹ́ẹ̀ni, bàbá mi àti ìyá mi ní àrùn ẹ̀jẹ̀ ríru.","Yes, both my father and mother have high blood pressure.","Yes, father my and mother my have sickness blood high."
How about your bowel movements? Have they changed?,"Bẹ́ẹ̀ni, Dókítà. Mo ńyàgbẹ́ lọ́pọ̀lọpọ̀, ó sì rí bí omi. Ẹ̀yìn mi ńdun mí.","Yes, Doctor. I am having diarrhoea frequently, and it looks like water. My anus is paining me.","Yes, Doctor. I am passing stool much, it also looks like water. My back is paining me."
When was your last blood sugar check?,Ní ọ̀sẹ̀ tí ó kọjá ni mo ṣe àyẹ̀wò ẹ̀jẹ̀ mi ní ilé ìwòsàn àdúgbò.,Last week I had my blood checked at the community clinic.,In week that it passed is I did check blood my at house hospital community.
Is your child able to hold down food or milk?,"Rárá, ó bì gbogbo ohun tí ó bá jẹ tàbí mu jáde láìpẹ́.","No, he vomits everything he eats or drinks shortly after.","No, he vomits everything that he eats or drinks out shortly."
Please describe the headache you're experiencing.,"Orí mi ń fọ́ gbogbo ara rẹ̀, ó sì ń ro bíi ìdámọ̀lẹ̀.","My head is throbbing all over, and it feels like a heavy pounding.","Head my is hurting whole body its, it also is aching like a pounding."
Is there anything that makes the pain better or worse?,"Nígbà tí mo bá dúró tàbí rìn, ó máa ń pọ̀ sí i; ìsinmi sì máa ń mú un dín kù.","When I stand or walk, it gets worse; rest usually reduces it.","When I would stand or walk, it usually increases it; rest also usually makes it decrease it."
Do you feel any numbness or tingling in your limbs?,"Bẹ́ẹ̀ni, ọwọ́ mi àti ẹsẹ̀ mi máa ń gbóná, títí débi pé mi ò lè gbée tì.","Yes, my hands and feet often tingle, to the point where I can't support them.","Yes, hand my and leg my usually hot, reaching point that I not can support it."
How many times has your child passed watery stool today?,"Ó ti lọ ìgbẹ́ rírọ̀ tó ìgbà márùn-ún lónìí, Dókítà. Ara rẹ̀ sì ti rọ rírọ̀, kò sì gbẹ́nu sọ.","He has passed watery stool about five times today, Doctor. He's also become very weak and isn't talking.","He has gone stool soft about times five today, Doctor. Body his also has become weak very, not also spoke."
Has your appetite decreased recently?,"Bẹ́ẹ̀ni, Dókítà. Ebi kì í pa mí rárá. Kódà ohun tí mo fẹ́ràn náà, mi ò fẹ́ jẹ ẹ́.","Yes, Doctor. I don't feel hungry at all. Even what I like, I don't want to eat it.","Yes, Doctor. Hunger doesn't kill me at all. Even thing that I like, I don't want to eat it."
How long has your blood pressure been high?,"Ó ti tó ọdún márùn-ún báyìí tí mo ti mọ̀ pé ó ga, ṣùgbọ́n mi ò fi bẹ́ẹ̀ lo oògùn rẹ̀.","It's been about five years now since I knew it was high, but I haven't been very consistent with the medication.","It has been year five now that I have known that it is high, but I not so much used medicine its."
Are you planning to have more children?,"Bẹ́ẹ̀ni, mo fẹ́ bí ọmọ méjì sí i lẹ́hìn èyí tí mo wà pẹ̀lú rẹ̀ báyìí.","Yes, I want to have two more children after the one I'm currently pregnant with.","Yes, I want bear child two more after this that I am with it now."
How much water do you drink daily?,"N kò máa ń mu omi púpọ̀ rárá, ṣùgbọ́n mo máa ń mu omi ọ̀san ju omi lọ.","I don't drink much water at all, but I usually drink fruit juice more than water.","I not usually drink water much at all, but I usually drink water orange more than water."
We need to schedule a follow-up appointment.,Ọjọ́ wo ni yóò dára fún mi láti tún padà wá? Ṣé ẹ lè fún mi ní ọjọ́ méjì?,What day will be good for me to come back? Can you give me two days?,Day what is it will be good for me to again return come? Can you give me day two?
"Do you have any cough, and if so, is it dry or productive?","Bẹ́ẹ̀ni, mo ní ikọ́, ó sì jẹ́ ikọ́ gbígbẹ, kò sí àmùrù kankan tó jáde.","Yes, I have a cough, and it's a dry cough; no phlegm comes out.","Yes, I have cough, it also is cough dry, there is no sputum any that comes out."
Do you have any discomfort in your chest?,"Bẹ́ẹ̀ni, àyà mi ń dún bí igun, ó sì máa ń mú mi lágbára láti mí.","Yes, my chest makes a creaking sound, and it makes it hard for me to breathe.","Yes, my chest is sounding like igun (bird), and it usually makes me strong to breathe."
Are you feeling dizzy or lightheaded?,"Bẹ́ẹ̀ ni, gbogbo ara mi ń yí pa dà, mo sì nímọ̀lára fífi ara balẹ̀.","Yes, I feel disoriented, and I have a sensation of weakness.","Yes, all my body is turning around, I also feel putting body down."
Have you lost any weight unintentionally recently?,"Bẹ́ẹ̀ni, mo ti rẹ̀wẹ̀sì gan-an láì gbìyànjú, gbogbo aṣọ mi sì ti fẹ̀ mí.","Yes, I've lost a lot of weight unintentionally; all my clothes have become loose on me.","Yes, I have become thin very without trying, all clothes my also have become wide me."
Do you feel any discomfort or pain during urination?,"Bẹ́ẹ̀ni, ó máa ń sun mí gan-an nígbà tí mo bá ń tọ̀, kò sì jáde dáradára.","Yes, it burns me a lot when I urinate, and it doesn't flow well.","Yes, it usually burns me very much when I would be urinating, it also not come out well."
Is there any blood in your urine?,"Rárá, kò sí ẹ̀jẹ̀ nínú ìtọ̀ mi, ṣùgbọ́n àwọ̀ rẹ̀ ti yí padà díẹ̀, ó sì ń pọ́nmọ́.","No, there's no blood in my urine, but its color has changed a bit, and it's darker.","No, not there is blood inside urine my, but color its has changed a little, it also is darker."
"Have you noticed any changes in your vision recently, like blurring or double vision?","Bẹ́ẹ̀ni, ojú mi ń rìwò. Nǹkan kan náà máa ń fi mí lójú méjì nígbà míì.","Yes, my vision is blurry. Sometimes I see double of the same thing.","Yes, eye my is blurry. Thing one same usually shows me in eye two sometimes."
When was your last menstrual period?,Ó ti tó oṣù méjì báyìí tí èmi náà ti fọ́kàn balẹ̀ pẹ̀lú ọkọ mi.,"It's been about two months now, and I've also been intimate with my husband.",It has been about two months now that I also have relaxed mind with husband my.
Have you had malaria recently?,"Bẹ́ẹ̀ ni, kò ti ì pé oṣù kan tí mo mu oògùn ibà gbígbóná.","Yes, it hasn't been a month since I took medication for severe malaria.","Yes, it has not been a month that I took medicine for hot malaria."
How much alcohol do you consume daily or weekly?,"Mi ò mu ọtí rárá, Dókítà. Mo gbàgbọ́ pé kò dára fún ìlera mi.","I don't drink alcohol at all, Doctor. I believe it's not good for my health.","I don't drink alcohol at all, Doctor. I believe that it is not good for my health."
Is the pain sharp or dull?,"Ó jẹ́ irúfẹ́ ìrora tó máa ń yánilẹ́nu, tí ó sì máa ń gbóná.","It's a throbbing, burning type of pain.","It is kind of pain that usually surprises one, that it and usually is hot."
"How are you feeling today, Mrs. Aliyu? Any concerns since your last check-up?","Mo wà dáradára, dókítà. Kìkì ẹ̀sẹ́ mi lásán ni ó wú díẹ̀, ṣùgbọ́n mo rò pé ó jẹ́ ìbàlẹ̀ nígbà oyún.","I'm fine, doctor. Just my feet are a bit swollen, but I think it's normal during pregnancy.","I am well, doctor. Only feet my just is swollen a little, but I think that it is normal during pregnancy."
Is your child still refusing to eat solids?,"Bẹ́ẹ̀ ni. Ó kàn fẹ́ mu omi tàbí wàrà, kò fẹ́ jẹun gbígbẹ rárá.",Yes. He only wants to drink water or milk; he doesn't want to eat solid food at all.,"Yes. He just wants to drink water or milk, he doesn't want to eat food dry at all."
Have you noticed any change in your skin color?,"Bẹ́ẹ̀ni, ara mi ti bẹ̀rẹ̀ sí í yí padà sí àwọ̀ pípá, ó sì ńhàn lójú gbogbo ara.","Yes, my skin has started to change to a yellowish color, and it's visible all over my body.","Yes, body my has started to it change return to color yellowish, it also is showing on-face all body."
Are you considering any lifestyle changes to improve your health?,"Bẹ́ẹ̀ni, mo ti bẹ̀rẹ̀ sí í jẹ àwọn èso àti ewébẹ̀ púpọ̀, mo sì ń gbìyànjú láti dín ohun mímu kù.","Yes, I have started eating more fruits and vegetables, and I'm trying to reduce my alcohol intake.","Yes, I have started to eat the fruits and vegetables much, I also am trying to reduce drinks."
Is your child eating and drinking normally?,"Bẹ́ẹ̀kọ́, Dókítà. Kò jẹun rárá, ó sì kọ omi lílọ.","No, Doctor. He hasn't eaten at all, and he refuses to drink water.","No, Doctor. He not eat at all, he also refuse water drinking."
It's very important for you and the baby's health.,"Mo gbọ́, Dókítà. N óò gbìyànjú láti máa wá dáadáa láti ìsinsìnyí lọ.","I understand, Doctor. I will try to come consistently from now on.","I hear, Doctor. I will try to be coming well from now on."
Did you complete the full course of antibiotics?,"Rárá o, mo dáwọ́ dúró nígbà tí ara mi bẹ̀rẹ̀ sí í dára díẹ̀.","No, I stopped when I started feeling a little better.","No oh, I stopped when body my started to become good a little."
"Have you noticed any changes in your bowel habits, such as constipation or diarrhea?","Bẹ́ẹ̀ni, mo ti ń ṣe àdáìgbẹ́ fún ọjọ́ mẹ́rin. Kò sì dára rárá fún mi.","Yes, I've had constipation for four days. It's not good at all for me.","Yes, I have been doing constipation for day four. Not also good at all for me."
Have you felt dizzy or lightheaded recently?,"Bẹ́ẹ̀ni, òyì máa ń kọ mí. Mo sì máa ń rò pé mo fẹ́ ṣubú.","Yes, I often feel dizzy. And I usually feel like I'm about to fall.","Yes, dizziness usually turns me. I also usually think I want to fall."
Do you feel weak or tired?,"Àárẹ̀ púpọ̀ máa ń mú mi, ojú mi sì máa ń rí fìrìfìrì pẹ̀lú.","I feel very weak, and my vision also gets blurry.","Weakness much usually takes me, eye my also usually sees blurrily also."
How many times a day do you take this pill?,"Mo máa ń mu ún lẹ́ẹ̀mejì lójoojúmọ́, ìkan ní òwúrọ̀ àti ìkan ní alẹ́.","I take it twice a day, one in the morning and one at night.","I usually take it twice a day, one in morning and one at night."
"Is the diarrhoea watery, and how often do you go?","Ìgbẹ́ mi kò dojú, ó sì ń jáde ní ìgbàgbogbo.","My stool is loose, and it's coming out frequently.","Stool my not solid, it also is coming out at frequently."
"How often do you have bowel movements, and what is their consistency?","Lẹ́ẹ̀kan lọ́jọ́ ni, ó sì sábà máa ń le díẹ̀.","Once a day, and it is usually a bit hard.","Once a day it is, it also usually is hard a bit."
Do you feel weak or tired more than usual?,"Ara mi rẹ̀ mí lọ́pọ̀lọpọ̀, mi ò sì ní agbára láti ṣe nǹkan kan.","I feel extremely tired, and I don't have the strength to do anything.","My body is tired me very much, and I don't have strength to do anything one."
Have you had any recent injuries or falls?,"Bẹ́ẹ̀ni, mo ti ṣubú lẹ́ẹ̀kan nígbà tí mo ń bọ̀ láti ọjà.","Yes, I fell once when I was coming back from the market.","Yes, I have fallen once when I was coming from market."
How long have you been feeling this severe abdominal pain?,"Ó ti bẹ̀rẹ̀ láti alẹ́ àná, kò sì jẹ́ kí n sùn pátápátá.","It started last night, and it didn't let me sleep at all.","It has started from night yesterday, it also did not let me sleep completely."
Have you noticed any changes in your vision?,"Bẹ́ẹ̀ni, ojú mi ò ríran dáadáa mọ́, pàápàá ní òru.","Yes, my eyes don't see well anymore, especially at night.","Yes, my eye does not see well anymore, especially at night."
Are you experiencing any nausea or vomiting?,"Bẹ́ẹ̀ni, egbò inú máa ń kọ́ mi lára, mo sì máa ń bì díẹ̀ díẹ̀ ní àárọ̀.","Yes, I usually feel nauseous, and I vomit a little in the mornings.","Yes, stomach ulcer usually affects me, and I usually vomit little little in morning."
How do you usually manage your stress levels?,Mi ò mọ bí mo ṣe máa ń dènà ìṣòro. Gbogbo rẹ̀ kọjá agbára mi.,I don't know how I usually manage stress. Everything is beyond my control.,I not know how I usually block problem. Everything it passed strength my.
Do you have any underlying medical conditions like diabetes or hypertension?,"Bẹ́ẹ̀ni, mo ní àrùn ẹ̀jẹ̀ ríru, mo sì ń mu òògùn rẹ̀ déédéé.","Yes, I have hypertension, and I take my medication regularly.","Yes, I have disease blood pressure, and I am taking its medicine regularly."
"Are you experiencing any other symptoms, like a cough?","Bẹ́ẹ̀ni, mo ń kọ́ fée, ó sì máa ń gbóná púpọ̀ ní òru.","Yes, I'm coughing a lot, and it usually gets much worse at night.","Yes, I am coughing much, it usually gets hot much at night."
Are you following the dietary advice we discussed?,"Bẹ́ẹ̀ni Dókítà, mo ńjẹ oúnjẹ tí kò ní gaari àti epo púpọ̀.","Yes Doctor, I am eating food that doesn't have much sugar and oil.","Yes Doctor, I am eating food that does not have sugar and oil much."
Does your child have a rash?,"Bẹ́ẹ̀ni, àwọ̀ ara rẹ̀ ti yí padà, àyà rẹ̀ sì ń já a.","Yes, his skin color has changed, and he has a rash on his chest.","Yes, skin body his has changed, chest his is breaking out on him."
Which joints are most affected by your arthritis?,"Òun-jẹ́-pẹ̀lú-ẹ̀jẹ̀ mi ń dun orúnkún mi, ó sì tún mú kí ẹ̀gbọ̀n-ọ́wọ́ mi wú.","My arthritis is painful in my knees, and it also makes my wrists swell.","My arthritis is paining knee my, it and also makes wrist my swell."
How many days have you had this fever?,"Ó ti tó ọjọ́ mẹ́ta báyìí, kò sì fẹ́ lọ. Mò ti mu panadol, ṣùgbọ́n kò yípadà rárá.","It's been about three days now, and it won't go away. I've taken paracetamol, but it hasn't changed at all.","It has been enough day three now, it not also want to go. I have drunk paracetamol, but not it changed at all."
Are you experiencing diarrhoea? How many loose stools have you had?,"Ìgbẹ́ mi ti ń rọ̀ láti àná, mo sì ti lọ sí ilé ìgbọ̀nsẹ̀ tó ju ẹ̀ẹ̀mẹfà lọ.","My stool has been watery since yesterday, and I've been to the toilet more than six times.","Stool my has been soft from yesterday, I and have gone to house toilet more than times six."
Have you noticed any swelling in your legs or ankles?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi wú díẹ̀, pàápàá nígbà tí mo bá ti dúró fún ìgbà pípẹ́.","Yes, my legs are slightly swollen, especially when I've stood for a long time.","Yes, leg my swollen a little, especially when I have stood for time long."
Have you experienced any fever or chills?,"Bẹ́ẹ̀ni, ara ti ń gbóná fún mi pẹ̀lú òtútù láìpẹ́ yìí.","Yes, I've had a high temperature with chills recently.","Yes, body has been hot for me with cold recently this."
How are you managing your chronic back pain?,"Mo ń lo àwọn ìpàróró, ṣùgbọ́n kò yí i padà rárá.","I am using local remedies, but it's not improving at all.","I am using some remedies, but it not change it at all."
How are you managing your arthritis pain?,"Mo máa ń lo àwọn ìkunra kan, ṣùgbọ́n ìrora náà máa ń wá nígbà gbogbo.","I use some topical rubs, but the pain is constant.","I usually use some rubs, but the pain usually comes at all times."
Are you having trouble sleeping at night?,"Bẹ́ẹ̀ ni, mi ò lè sùn láti ọ̀pọ̀lọpọ̀ ọjọ́ sẹ́yìn, èyí sì ń mú mi rẹ.","Yes, I haven't been able to sleep for many days, which is making me tired.","Yes, I cannot sleep from many days back, this also is making me tired."
Does anyone in your family have a history of heart disease?,"Bẹ́ẹ̀ni, ìyáàfin mi kú látàrí àìsàn ọkàn nígbà kan.","Yes, my grandmother died from heart disease at one point.","Yes, my grandmother died because of sickness heart at time one."
Is there a history of high blood pressure in your family?,"Bẹ́ẹ̀ni, bàbá mi àti ìyá mi méjèèjì ní ẹ̀jẹ̀ ríru, nítorí náà, ó ń fún mi ní ìfura púpọ̀.","Yes, both my father and mother have high blood pressure, so it makes me very suspicious.","Yes, father my and mother my both have blood high, therefore, it is giving me suspicion very much."
Are you experiencing diarrhoea?,"Bẹ́ẹ̀ni, ìgbẹ́ gbuuru ló ń lọ, ó sì ti pọ̀ jù báyìí.","Yes, I have diarrhoea, and it has become too frequent now.","Yes, faeces runny is it going, it and has become much too now."
Do you smoke or consume alcohol?,"Bẹ́ẹ̀ni, mo máa ń mu sìgá, àmọ́ n kò kì í mu ọtí.","Yes, I smoke cigarettes, but I don't drink alcohol.","Yes, I usually used to drink cigarette, but I not usually drink alcohol."
I'm referring you to a specialist for further evaluation.,"Ó dára, dókítà. Ṣé wọ́n máa wà níbí pẹ̀lú ni tàbí ní ibòmíràn?","Okay, doctor. Will they also be here or somewhere else?","It is good, doctor. Will they be here with is it or in somewhere else?"
Please describe the circumstances surrounding the accident.,"Wọ́n kọlù wá látọ̀dọ̀ ẹ̀gbẹ́ ni, ọkọ̀ ayọ́kẹ́lẹ́ kan sì wá tì wá lẹ́yìn.","We were hit from the side, and then another car hit us from behind.","They hit us from side it, car one then came hit us from behind."
Have you recently traveled out of the country or to a malaria-prone area?,"Bẹ́ẹ̀ni, mo ṣẹ̀ṣẹ̀ dé láti ìlú Ìbàdàn níbi tí àwọn ẹ̀fọn pọ̀ sí.","Yes, I just arrived from Ibadan city where mosquitoes are numerous.","Yes, I just arrived from city Ibadan where the mosquitoes are many."
Have you experienced any changes in your bowel habits?,"Bẹ́ẹ̀ni, igbẹ́ mi ti le gan-an láti ọ̀pọ̀ ọjọ́, ó sì tún máa ń pẹ́ kí n yà á.","Yes, my stool has been very hard for many days, and it also takes a long time for me to pass it.","Yes, stool my has hard very from many days, it and also always takes long that I pass it."
Have you had any recent vaccinations?,"Rárá, mi ò rántí pé mo ti gbà á láìpẹ́ yìí.","No, I don't recall receiving any recently.","No, I not remember that I have received it recently this."
Are you feeling any chest pain or difficulty breathing?,"Bẹ́ẹ̀ni, ọkàn mi ń lù gbàmùgbàmù, èémí náà sì ń pa mí níyàn.","Yes, my heart is pounding, and I'm experiencing shortness of breath.","Yes, my heart is beating heavily, and breath also is causing me struggle."
What kind of food have you eaten recently?,"Lálẹ́ àná ni mo jẹ iṣu àgbàgbà àti ṣúgà pẹ̀lú omi àgbàdo, lẹ́yìn èyí ni gbogbo rẹ̀ bẹ̀rẹ̀.","Last night, I ate some local yam porridge and corn pap with sugar; after that, everything started.","Night yesterday is I ate yam porridge and sugar with water corn, after this is all it started."
How long have you had this fever?,Ó ti lé ní ọjọ́ mẹ́ta báyìí tí ibà ti mú mi.,I have had a fever for more than three days now.,It has passed in day three now that fever has caught me.
Do you have any allergies to medications?,"Bẹ́ẹ̀ni, mo ní àìgbọ́dọ̀-gbẹ́ oògùn sí Pẹnisílínì. Ó máa ń mú mi yún ara.","Yes, I have an allergy to Penicillin. It makes me itch all over.","Yes, I have not-allowed-to-take medicine to Penicillin. It always makes me itch body."
