Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
Have you been experiencing any burning or tingling in the area of an old chickenpox scar?,"Ní ẹ̀gbẹ́ ìdí mi, ibi tí àpá àjèjì ti ṣẹlẹ̀ nígbà mo wà lọ́mọdé, ìró iná ń wáyé fún ọjọ́ mẹ́ta ṣáájú àpá tuntun náà.","Prodromal dermatomal burning and paraesthesia preceding vesicular eruption in a dermatome corresponding to a prior varicella scar, the classic presentation of herpes zoster reactivation requiring early antiviral therapy to reduce post-herpetic neuralgia risk.",LOW
Were you doing anything specific when the chest pain first started?,Mo ń gbé àpótí wúwo nígbà tí irora náà bẹ̀rẹ̀. Mo ni láti fi sílẹ̀ kí n le dúró mú ìmí.,"Chest pain precipitated by heavy lifting, with associated dyspnoea requiring cessation of activity. Musculoskeletal or exertional cardiac aetiology must be differentiated.",LOW
"Have you been passing blood in your urine without pain, particularly after swimming in lake or river water?","Ito mi máa ń ní ẹjẹ̀ nínú rẹ̀ ní ìgbà-ìgbà, kò ń dùn rárá. Mo máa ń wẹ nínú adágún omi ní abúlé wa.","Painless terminal haematuria in a patient with freshwater lake exposure, the classic presentation of Schistosoma haematobium infection, requiring urine microscopy for ova after midday, and praziquantel treatment.",LOW
"Has anyone in your family been told they carry the sickle cell trait, and has your newborn been tested?",Ọkọ mi àti èmi jẹ́ àwọn tó ń gbé àrùn ẹ̀jẹ̀ ààyọ. Ọmọ tuntun wa kò tíì ṣe ìdánwò. A dúró de ọjọ́ mẹ́ta sẹ́yìn.,"Both parents are confirmed sickle cell trait carriers, giving a twenty-five percent probability of sickle cell disease in the newborn. Newborn haemoglobin electrophoresis screening should be performed immediately to enable early prophylactic penicillin and parental counselling.",LOW
Have you been having any episodes of sudden severe pain in one eye with headache and nausea?,Ojú ọ̀tún mi ń dùn gan-an lójijì pẹ̀lú orí fífọ̀ àti ríru ní ìgbà méjì ní oṣù kan. O ń pẹ́ fún wákàtí méjì.,"Episodic severe unilateral eye pain with headache and nausea consistent with acute angle-closure glaucoma requiring same-day tonometry, anterior chamber assessment, and laser iridotomy to prevent permanent visual loss.",LOW
Have you had a medication review in the past year where someone checked all your tablets together?,Kò sí ẹni tó ṣe àyẹ̀wò gbogbo oògùn mi papọ̀ fún ọdún méjì. Mo máa ń gba àwọn atunṣe tuntun láìsí ẹnìkan tó ṣàyẹ̀wò àwọn tó ti wà.,"No medication review for two years in a patient with multiple prescribers and polypharmacy, indicating a significant patient safety risk requiring a structured medicines optimisation review to identify deprescribing opportunities, interactions, and unnecessary medications.",LOW
"Has your appetite increased significantly, and are you eating much more than you used to without feeling full?",Ìfẹ́kúfẹ̀ẹ̀ mi ti pọ̀ si i. Mo máa ń jẹ ìlọ́po méjì ohun tí mo ń jẹ ṣáájú ṣùgbọ́n mi ò máa ń yó.,"Polyphagia with persistent hunger despite increased caloric intake, a symptom of uncontrolled diabetes mellitus where cellular glucose starvation drives compensatory hyperphagia despite hyperglycaemia.",LOW
"Do you feel you have been fully listened to today, and is there anything you wanted to say that you have not yet said?",Mo nímọ̀lára pé a gbọ́ mi lónìí. Ṣùgbọ́n ọ̀rọ̀ kan ṣì wà tí mi ò sọ — mo ti ń rò nípa ìdádúró ìgbé ayé mi nígbà-ìgbà.,"Closing disclosure of passive suicidal ideation after feeling heard, demonstrating the critical importance of the ICE closing question in consultations — Ideas, Concerns, Expectations — as a safety net for undisclosed red flag symptoms, requiring immediate risk assessment.",LOW
Have you been experiencing any hair loss that you think might be related to stress or your diet?,Irun mi ti ń bọ̀ lọ́pọ̀lọpọ̀ fún oṣù mẹ́fà. Mo ti padà iṣẹ́ mi àti ibínú ẹbí nígbà yẹn. Oúnjẹ mi tún kò dára.,"Telogen effluvium with diffuse hair shedding following six months of psychosocial stressors and nutritional inadequacy, a reactive hair loss pattern that typically reverses within six months of addressing the precipitant, requiring thyroid function, ferritin, and zinc levels.",LOW
"Has the child been snoring loudly and mouth breathing, and has the school said they are inattentive?",Ọmọ mi ń ṣe ìró ìrọ̀lẹ́ gan-an tó ń jí mi dìde. Ó ń mí nípasẹ̀ ẹnu ní ọjọ́-ọjọ́. Olùkọ́ rẹ̀ sọ pé kò ṣe àfikún mọ́.,"Paediatric obstructive sleep apnoea with adenotonsillar hypertrophy causing nocturnal snoring, obligate mouth breathing, and school inattention consistent with sleep-related neurocognitive impairment, requiring tonsillectomy and adenoidectomy assessment.",LOW
Have you noticed any new freckles or spots appearing on your face or hands as you age?,Àwọn ìwọ̀ dúdú tuntun ti fara hàn lórí ọwọ́ mi àti ojú mi ní ọdún mẹ́ta. Wọ́n kéré ṣùgbọ́n wọ́n ń pọ̀ sí i ní ìgbà-ìgbà.,"Multiple new pigmented lesions appearing over three years on photo-exposed areas, requiring dermoscopic evaluation to differentiate solar lentigines from early melanoma, seborrhoeic keratoses, or lentigo maligna, particularly in patients with significant sun exposure history.",LOW
Has the baby been having any jerking movements of the arms or legs that you cannot stop by holding the limb?,"Ọmọ mi ń gbọn ní apá àti ẹsẹ̀ rẹ̀ ní ìgbà-ìgbà. Nígbà tí mo bá di apá rẹ̀, ó tẹ̀síwájú. Ó ń wo ibi kan pẹ̀lú ojú rẹ̀.","Non-suppressible neonatal seizures with tonic-clonic limb movements and tonic eye deviation, requiring urgent blood glucose, calcium, electrolytes, and septic screen, with electroencephalography and phenobarbitone loading for confirmed seizures.",LOW
Have you noticed any ulcers or sores on your leg that have been present for months without healing?,"Ọgbẹ́ kan wà ní ẹsẹ̀ ìsàlẹ̀ mi ọ̀tún tó wà fún oṣù mẹ́fà. Ó ń jáde omi, kò ń sàn pẹ̀lú oògùn tí mo rà.","Chronic venous leg ulcer of six months duration with serous discharge and failure of self-treatment, requiring wound assessment, Doppler studies to exclude arterial disease, compression bandaging, and wound care specialist referral.",LOW
"Has the child been squinting or rubbing their eyes frequently, and has their school performance been affected recently?","Bẹ́ẹ̀ ni, ọmọ mi ń ti ojú rẹ̀ pa kúrú ní kíláàsù lati le rí. Olùkọ́ rẹ̀ sọ pé ó ti di aláìfiyèsí nínú ẹ̀kọ́.","Child reported to squint to visualise board at school, with associated decline in academic performance over eleven days, suggesting uncorrected refractive error.",LOW
Has anyone in your community been treating you differently since you received your diagnosis?,Àwọn ìdílé ọkọ mi ti bẹ̀rẹ̀ sí yà mí sọ̀tọ̀ lẹ́yìn tí wọ́n gbọ́ pé mo ní àrùn mi. Wọ́n máa ń lo àwọn ohun ìjẹun mi tọ̀tọ̀. Ó ń ṣe mí ìbànújẹ́.,"Stigma-related social isolation and separate utensils following a diagnosis, a documented barrier to disclosure and treatment adherence in HIV, tuberculosis, and mental illness that requires community education, psychosocial support, and patient rights advocacy.",LOW
"Have you had a hysterectomy before, and do you know why it was done?",A yọ ìkùn ọmọ mi ní ọdún mẹ́fà sẹ́yìn nítorí fibroid tó pọ̀. Àwọn ẹ̀yìn mi ṣì wà nínú ara mi.,"Previous hysterectomy for symptomatic fibroids with ovarian conservation, relevant to current HRT eligibility, cardiovascular risk profile, and the fact that cervical screening is no longer required while ovarian cancer surveillance remains important.",LOW
"How severe is the back pain at its worst, and does lying flat or walking make any difference?",Irora ẹ̀hin mi le ní mẹ́jọ sí mẹ́sàn-án. Dùbúlẹ̀ pẹ̀tẹ́lẹ̀ ń mú ki ó burú. Ìjókòó àti tẹ̀ iwájú ń mú ki ó yẹ̀ díẹ̀.,"Severe back pain rated eight to nine out of ten worsening in supine position and relieved by forward flexion, the positional pattern of inflammatory spondyloarthropathy such as ankylosing spondylitis, distinct from mechanical back pain which improves with rest.",LOW
"Have you been feeling pressure from peers to drink alcohol, smoke, or use drugs?",Àwọn ọ̀rẹ́ mi máa ń pè mi láti mu ọtí àti mu sìgá nígbà tí a bá jọ. Mo ti gbìyànjú lẹ́ẹ̀mejì ṣùgbọ́n mi ò fẹ́ tẹ̀síwájú.,"Adolescent experiencing peer pressure for substance use with two prior exposure events but expressed ambivalence, indicating an opportunity for motivational interviewing, substance use education, and resilience-building intervention before dependence develops.",LOW
"Do you have any difficulty getting up off the floor if you fall, even without an injury?","Bí mo bá ṣubú, mi ò lè dìde láìsí ìrànlọ́wọ́ ẹlòmíràn. Mo gbìyànjú fún ìṣẹ́jú mẹ́wàá kí n tó gbé ẹni tó kọjá lọ.","Inability to rise from the floor independently following a fall, indicating severe proximal muscle weakness or deconditioning in an elderly patient and highlighting the need for physiotherapy assessment, strength training, and falls prevention education.",LOW
"Do you make any wheezing or whistling sound when you breathe, especially at night?","Bẹ́ẹ̀ ni, ìró gbóngbón ń jáde nígbà tí mo bá ń mí. Ó máa ń burú ní alẹ́ àti òwúrọ̀.","Nocturnal and early morning wheeze with audible expiratory rhonchi, consistent with reversible airway obstruction as seen in bronchial asthma or chronic obstructive pulmonary disease.",LOW
"Are you currently breastfeeding, and have you noticed any changes in your milk supply or breast tenderness?",Mo ń fun ọmọ mi ọmú. Ọmú mi ti di lile àti irora ní apá ọ̀tún fún ọjọ́ mẹ́ta. Wàrà mi tún di díẹ̀.,"Lactating patient presenting with right breast induration, tenderness, and reduced milk output over three days, consistent with lactational mastitis requiring antibiotic therapy and continued breastfeeding support.",LOW
"How long have you had this lump, and has anyone examined it before?",Èso yìí wà fún oṣù mẹ́fa. Kò sí ẹni tó wo rẹ̀ rárá. Mo rò pé yóò lọ fúnra rẹ̀ ṣùgbọ́n kò lọ.,"Persistent lump of six months duration with no prior clinical assessment, exceeding the two-week urgent referral threshold for unexplained lumps, requiring immediate physical examination, imaging, and biopsy as appropriate to the anatomical site.",LOW
Have you or anyone in your household been diagnosed with any hereditary or genetic condition?,"Ọ̀pọ̀lọpọ̀ nínú ìdílé wa ní àrùn suga. Bàbá mi, abúrò mi méjì, àti ìyá mi gbogbo wọn ni àrùn suga.","Strong multigenerational family history of diabetes mellitus affecting the patient's parents and two siblings, indicating a high genetic predisposition and requiring fasting glucose, HbA1c testing, and lifestyle intervention.",LOW
"How many pregnancies have you had, and how many children are currently alive?","Mo ti lóyún lẹ́ẹ̀mẹ́fà. Ọmọ márùn-ún ni mo ní. Ọ̀kan kú nígbà ìbímọ, àti ọ̀kan mọ̀ sọnu nígbà oyún kẹrin.","Gravida six, para five, with a neonatal death and one miscarriage, indicating a complex obstetric history requiring careful documentation of pregnancy complications to guide management of the current presentation.",LOW
"Are you currently living alone, and who would you contact if you had a medical emergency?",Mo ń gbé nìkan. Àwọn ọmọ mi wà ní Abuja àti Lọ́ndọ̀n. Mi ò ní ọ̀rẹ́ tó wà nítòsí tí yóò ràn mí lọ́wọ́.,"Elderly patient living alone without proximate social support, with children residing in geographically distant locations, indicating significant vulnerability and the need for emergency care planning, medical alert systems, and community support services.",LOW
"Have you been told you have leukaemia or any blood cancer, and what treatment have you been offered?",Dọ́kítà ní ilé ìwòsàn gíga sọ pé mo ní àrùn jẹjẹrẹ ẹjẹ̀ fún oṣù mẹ́ta. Wọ́n sọ fún mi nípa oògùn kẹmíkà ṣùgbọ́n mi ò bẹ̀rẹ̀ rẹ̀.,"Recently diagnosed haematological malignancy with offered chemotherapy not yet commenced three months post-diagnosis, indicating treatment delay that may allow disease progression and requires urgent oncology re-engagement and psychosocial support.",LOW
"Have you noticed any rash on your cheeks and nose that looks like a butterfly, made worse by sunlight?",Àpá pupa kan wà lórí ẹrẹ̀kẹ́ mi méjèéjì tó ń kọjá orí imu mi. Ó máa ń burú sí i nígbà tí mo bá wà níta ní ìmọ̀lẹ̀.,"Photosensitive malar rash with butterfly distribution sparing the nasolabial folds, the hallmark cutaneous feature of systemic lupus erythematosus requiring ANA, anti-dsDNA, complement levels, and urine protein assessment.",LOW
"How long have you been taking this medication, and have you noticed any side effects since starting it?","Mo ti ń mu oògùn àtọ̀gbẹ̀ mi fún oṣù mẹ́fà. Lẹ́yìn ọ̀sẹ̀ méjì, inú mi bẹ̀rẹ̀ sí ṣòro àti ìgbẹ́ gbuuru.","Gastrointestinal side effects of nausea and diarrhoea emerging two weeks after initiating metformin for type two diabetes, consistent with the known adverse effect profile of biguanide therapy, often mitigated by gradual dose titration and food co-administration.",LOW
"Did the visual disturbance begin suddenly or gradually, and have you experienced any recent headache or eye pain?",Ojú mi di rórò lójijì ní ọjọ́ àárọ̀ àárọ̀. Mo ní irora orí tó le àti ìmọ̀lẹ̀ tó ń bani lójú.,"Sudden-onset bilateral visual blurring with associated severe headache and photophobia, commencing two days prior to presentation.",LOW
"Have you noticed any yellowing of your eyes, dark urine, or pale stools alongside your fever?","Ojú mi ti di pàálu, ito mi di dúdú bí kọfì, àti ìgbẹ́ mi ti di funfun-funfun. Ibà mi ti wà fún ọjọ́ mẹ́wàá.","Jaundice with choluria and acholic stools in the context of a ten-day febrile illness, indicating acute hepatitis — most likely hepatitis A or E in the Nigerian context — or leptospirosis requiring urgent hepatic function testing.",LOW
Has your child received vitamin A supplementation at the last clinic visit?,A fún ọmọ mi ní vitamin A ní ọjọ́ Immunisation ní oṣù mẹ́fà sẹ́yìn. Mi ò mọ̀ bóyá a fún un lẹ́yìn náà.,"Vitamin A supplementation six months ago at the last immunisation contact with uncertain subsequent dosing, raising concern for vitamin A deficiency in a child at risk, which causes night blindness, increased susceptibility to infections, and xerophthalmia.",LOW
Have you had any episodes where you suddenly could not move or speak for a few minutes?,"Lẹ́ẹ̀meji, mo wà ní ìpòkò fún ìṣẹ́jú díẹ̀, kò lè sọ ọ̀rọ̀ tàbí gbé apá mi. Ó lọ fúnra rẹ̀ ṣùgbọ́n mo bẹ̀rù gan-an.","Transient episodes of speech arrest and limb weakness with complete resolution, constituting TIAs requiring urgent carotid imaging, antiplatelet therapy, and stroke prevention assessment.",LOW
"With the skin rash, have you had any joint swelling, mouth ulcers, or hair loss at the same time?","Papọ̀ pẹ̀lú àpá mi, ìpín mi wú, ọgbẹ́ wà nínú ẹnu mi, àti irun mi ti ń bọ̀ lọ́pọ̀lọpọ̀. Gbogbo wọn wáyé papọ̀.","The triad of rash, arthritis, oral ulceration, and alopecia occurring simultaneously constitutes a multisystem flare of systemic lupus erythematosus requiring ANA, anti-dsDNA, complement levels, and urine protein assessment.",LOW
"Has your child had any episodes of severe pain in the limbs, chest, or abdomen that required hospitalisation?",Ọmọ mi ti wọ ilé ìwòsàn lẹ́ẹ̀mẹ́ta nítorí irora apá àti ẹsẹ̀ tó le gidigidi. Dọ́kítà sọ pé ó jẹ́ nítorí ẹ̀jẹ̀ rẹ̀.,"Recurrent vaso-occlusive pain crises in the limbs requiring three hospitalisations, occurring in the context of known haematological disease, consistent with sickle cell disease and requiring haematology input and hydroxyurea consideration.",LOW
How severe is the pain from the burn — and how large an area of the skin has been affected?,Irora ọgbẹ́ iná mi le ní mẹ́wàá. Apá mi méjèéjì àti àyà mi ni a jó. Awọ ara wa yẹ̀ nínú ọ̀pọ̀lọpọ̀ ibi.,"Maximum severity burn pain with bilateral arm and anterior trunk involvement, representing a major burn injury exceeding fifteen percent total body surface area requiring immediate fluid resuscitation using the Parkland formula, analgesia, and burns unit transfer.",LOW
Have you been experiencing any tightness or swelling in your throat after eating shellfish or nuts?,Ọfun mi máa ń wú díẹ̀ àti kún lẹ́yìn tí mo bá jẹ ẹ̀ja ọ̀pọ̀lọpọ̀ ẹsẹ̀. O ti ṣẹlẹ̀ lẹ́ẹ̀mẹ́jọ ṣùgbọ́n kò le bíi àkọ́kọ́.,"Escalating oropharyngeal reactions to shellfish indicating IgE-mediated allergy with increasing severity pattern, requiring skin prick testing, specific IgE, EpiPen prescription, and allergen avoidance education.",LOW
"Is the pain in your lower back, in the buttock, or does it start in one place and shoot to the other?","Irora bẹ̀rẹ̀ ní ẹ̀hin ìsàlẹ̀ mi, lẹ́yìn náà ó ń rọ sínú ìdí mi ọ̀tún àti sísàlẹ̀ ẹsẹ̀ mi.","Low back pain radiating through the buttock and down the leg in the sciatic nerve distribution, consistent with lumbar disc herniation at L4/L5 or L5/S1 compressing the nerve root, requiring MRI lumbar spine and physiotherapy assessment.",LOW
"Have you had any experience with a baby dying in the first week of life, and do you know what caused it?",Ọmọ tí mo bí kẹ́ta kú ní ọjọ́ méje lẹ́yìn ìbímọ. Wọ́n sọ pé ikùn rẹ̀ ń ṣòro. Kò sí àlàyé tó péye.,"Previous neonatal death on day seven from a possible surgical abdominal cause without adequate explanation, a significant obstetric history that may indicate a hereditary condition, structural anomaly recurrence risk, or perinatal care quality gap requiring detailed counselling.",LOW
"Does the cough tend to be worse at a specific time — early morning, after meals, or late at night?","Ikọ́ mi máa ń burú jù ní àárọ̀ owúrọ̀ nígbà tí mo bá jí dìde àti lẹ́yìn oúnjẹ alẹ́. Ní ọ̀sán, ó máa ń yẹ̀ díẹ̀.","Morning and post-prandial cough exacerbation suggesting gastro-oesophageal reflux with nocturnal acid accumulation and post-meal reflux, a common non-infectious cause of chronic cough requiring pH-impedance monitoring and proton pump inhibitor trial.",LOW
"How long have the headaches been going on, and have you needed to take more painkillers over time to get the same effect?",Orí mi ti ń fọ̀ fún ọdún kan. Mo ti bẹ̀rẹ̀ pẹ̀lú tábùlẹ́tì méjì ní ọjọ́ kan ṣùgbọ́n báyìí mo nílò mẹ́fà láti gba ìtura kan náà.,"Escalating analgesic requirement over one year for headache control, fulfilling the diagnostic criteria for medication overuse headache where frequent analgesia perpetuates a cycle of rebound headaches, requiring analgesic withdrawal and preventive therapy.",LOW
"Have you had any night sweats, persistent fever, and swollen glands in your neck or armpits?","Mo ń gbọn lọ́pọ̀lọpọ̀ ní alẹ́, ibà mi ń wáyé ní ìgbà-ìgbà, àti pé àwọn ẹ̀gbẹ̀ wà ní ọrùn mi tó ti ń pọ̀.","Constitutional B symptoms comprising night sweats, intermittent fever, and progressive cervical lymphadenopathy, raising concern for lymphoma, HIV-associated illness, or disseminated tuberculosis.",LOW
Do you have any advance directive or living will that tells us what treatment you would or would not want?,"Mi ò tíì rò nípa ìyẹn rárá. Mo kò mọ̀ pé ó ṣeéṣe. Ṣùgbọ́n bí mo bá di àìsí, mi ò fẹ́ kí wọ́n máa gbé mi láàárọ̀ pẹ̀lú ẹrọ.","No existing advance directive with expressed preference against mechanical life support, requiring formal advance care planning documentation witnessed and recorded in the medical notes before any acute deterioration renders the patient unable to participate.",LOW
"Do you have a medical alert bracelet or card for any serious condition, and have you brought it today?",Mo ní ìwé tó sọ pé mo ní àtọ̀gbẹ̀ àti àléèjì pẹ̀nísílíìnì ṣùgbọ́n mo gbàgbé rẹ̀ sílẹ̀. Mo máa ń gbàgbé rẹ̀ ní ìgbà-ìgbà.,"Medical alert card for diabetes and penicillin allergy not carried to the appointment, creating a risk for inadvertent beta-lactam prescribing in an emergency when the patient may be unable to communicate their allergy, reinforcing the importance of MedicAlert documentation in hospital records.",LOW
"Does the skin rash come and go with your menstrual cycle, worsening before your period?",Àpá mi máa ń burú ní ọjọ́ mẹ́ta ṣáájú oṣù mi àti yẹ̀ lẹ́yìn tí oṣù bá tàn. Ó ṣẹlẹ̀ ní ọ̀sẹ̀ mẹ́ta tó kọjá.,"Premenstrual flare of cutaneous symptoms with post-menstrual resolution, consistent with catamenial dermatosis, progesterone hypersensitivity, or premenstrual exacerbation of atopic eczema or acne, requiring hormonal assessment.",LOW
Have you had any problems with your appetite since starting your new medication?,"Lẹ́yìn tí mo bẹ̀rẹ̀ oògùn tuntun, ìfẹ́kúfẹ̀ẹ́ mi ti lọ pátápátá. Mo jẹun díẹ̀ kan ní ọjọ́ kan. Mo ti tẹ̀nìí ní oṣù kan.","Drug-induced anorexia with significant weight loss over one month requiring medication review, dose adjustment, and nutritional assessment.",LOW
Have you noticed any hair loss from your eyebrows or outer part of your eyelashes?,Ìbọ̀sí oju mi àti irun ìhà ìmọ̀lẹ̀ ojú mi ti bẹ̀rẹ̀ sí dínkù. Ó bẹ̀rẹ̀ ní ìhà ìmọ̀lẹ̀ ẹ̀gbẹ́ ojú mi.,"Lateral eyebrow thinning with loss of the outer third of the eyelashes, a specific clinical sign of hypothyroidism known as Queen Anne's sign, strongly supporting thyroid hormone deficiency requiring TSH and free T4 measurement.",LOW
"Have you noticed any blistering, weeping, or crusting of the skin on the affected area?","Àpá náà ti ṣẹ̀dá àwọn ohun tó dà bíi omi nínú, lẹ́yìn náà wọ́n ya, ó sì ti di ìdìmú ní báyìí.","Vesicular eruption progressing to rupture and crusting, consistent with herpes simplex, varicella zoster, or impetigo, requiring viral swab and bacterial culture to guide antimicrobial therapy.",LOW
"Is the patient's skin cold and clammy, and how low is the blood pressure reading?","Awọ ara rẹ̀ tutù àti ọ̀rọ̀. A wọn ẹjẹ̀ rẹ̀, ó sì wà ní ọgọ́sàn-ún lé mẹ́ẹ̀ẹ́dógójì lórí ọgọ́sàn-ún. Ọkàn rẹ̀ lu yára.","Haemodynamic instability with hypotension, tachycardia, and peripheral shutdown indicating cardiogenic or distributive shock, requiring urgent intravenous access, fluid resuscitation, and identification of the underlying cause.",LOW
"How long have you had difficulty falling asleep, and was there anything that happened around the time it started?","Ìṣòro ìsùn mi bẹ̀rẹ̀ lẹ́yìn tí mo pàdánù iṣẹ́ mi ní oṣù mẹ́fà sẹ́yìn. Láàárọ̀ tí ó tó ìyẹn, mo sùn dáradára.","Onset of insomnia temporally linked to job loss six months ago, establishing a psychosocial precipitant consistent with adjustment disorder or major depressive episode, guiding treatment toward cognitive-behavioural therapy for insomnia alongside psychosocial support.",LOW
Have you been having any problems passing urine after your catheter was removed?,A yọ àpòòtọ́ mi kúrò ní ọjọ́ méjì sẹ́yìn ṣùgbọ́n mi ò tíì ṣe ito rárá. Ó ń ṣe mí irora ní ìsàlẹ̀ ikùn mi.,Urinary retention post-catheter removal with lower abdominal pain requiring bladder scan for post-void residual and urological assessment for urethral stricture or detrusor areflexia.,LOW
"Have you been given a follow-up appointment after today, and do you know what it is for?",Wọ́n fún mi ní kàdì pẹ̀lú ọjọ́ tó kọjá. Ọjọ́ ìpàdé mi ti kọjá ní ọ̀sẹ̀ méjì. Ko sí ẹni tó pè mi padà.,"Missed follow-up appointment without recall notification two weeks past the scheduled date, representing a care gap that may result in failure to act on pending investigation results, medication review needs, or disease monitoring, requiring immediate rescheduling and result review.",LOW
Has your child been given deworming tablets at school or at the clinic this year?,"Mi ò rí ẹni tó fún ọmọ mi ní oògùn ìjẹ nínú ọdún yìí. Ní ọdún tó kọjá, ilé ẹ̀kọ́ ló fún wọn.","No school-based or clinic deworming treatment received in the current year, interrupting the deworming cycle in a high-prevalence area and creating risk for soil-transmitted helminth reinfection affecting nutritional status and cognitive development.",LOW
"Has the baby been feeding well at the breast, and are you hearing the baby swallow during feeds?",Ọmọ mi ń gbìyànjú láti mu ọmu ṣùgbọ́n ó máa ń tú jáde. Mi ò gbọ́ ohùn gbígbé. Ọmú mi tún dùn mi ní ìpín.,"Ineffective latch with audible swallowing absent and maternal nipple pain, indicating poor breastfeeding technique or possible tongue-tie, requiring lactation assessment and examination of the infant's oral anatomy.",LOW
Has the elderly patient been confused at night but clear-headed during the day?,"Àgbàdo mi ń sọ àwọn ọ̀rọ̀ àjèjì ní alẹ́, ó máa ń jí sálẹ̀ ibùsùn. Ní ọ̀sán, ó mọ àwọn ọmọ rẹ̀ mọ̀.","Nocturnal confusion with sundowning behaviour and preservation of daytime orientation, a pattern consistent with delirium superimposed on early dementia or metabolic encephalopathy in the elderly.",LOW
Do you get pain in your calves when you walk that goes away when you rest?,"Ẹsẹ̀ mi ń dùn nígbà tí mo bá ń rìn jíjìn. Nígbà tí mo bá dúró síta, irora náà máa ń lọ lẹ́yìn ìṣẹ́jú díẹ̀.","Intermittent claudication with reproducible calf pain on exertion relieved by rest, indicating peripheral arterial disease secondary to atherosclerosis and warranting ankle-brachial index measurement.",LOW
"Did the jaundice appear at the same time as the pain, or did the pain come first by several days?",Irora ìhà ọ̀tún ikùn mi bẹ̀rẹ̀ ní ọjọ́ àárọ̀. Ojú mi di pàálu ní ọjọ́ kẹta. Ibà wáyé ní ọjọ́ kéjì.,"Charcot's triad with sequential onset of right upper quadrant pain, fever on day two, and jaundice on day three, the classic temporal presentation of acute ascending cholangitis requiring urgent biliary decompression, blood cultures, and intravenous antibiotics.",LOW
Have you been having any episodes of sudden severe vertigo when you first wake up in the morning?,Mo máa ń jí ní àárọ̀ pẹ̀lú orí yípo tó le gan-an. O ń pẹ́ fún ìṣẹ́jú mẹ́wàá lẹ́yìn náà ó máa ń yẹ̀. O ti ń ṣẹlẹ̀ fún ọ̀sẹ̀ méjì.,"Morning positional vertigo on first waking consistent with BPPV from posterior semicircular canal canalithiasis, confirming with Dix-Hallpike test and treating with the Epley repositioning manoeuvre.",LOW
Have you noticed any change in your bowel habits alongside mucus in your stool without blood?,"Ìgbẹ́ mi ti yí padà, omi líle àti bíi ìró omi ń jáde papọ̀ pẹ̀lú rẹ̀. Mo rí ìyẹn fún oṣù mẹ́ta.","Altered stool consistency with mucus discharge for three months, while blood-free, may indicate a colorectal villous adenoma, mucous fistula, or early colorectal malignancy requiring colonoscopic evaluation.",LOW
"Have you had any difficulty with your vision, such as seeing double or losing vision in one eye?",Ojú mi ọ̀tún ń ṣàfihàn àwòrán méjì tí mo bá ń wo nǹkan. Ó bẹ̀rẹ̀ lẹ́yìn orí fífọ̀ tó le.,"Binocular diplopia following a severe headache, raising urgent concern for a posterior communicating artery aneurysm with third nerve palsy or raised intracranial pressure.",LOW
"Has your face, lips, or tongue ever swollen suddenly without any clear cause?","Bẹ́ẹ̀ ni, ète mi àti ahọ́n mi wú lójijì ní ọjọ́ Ìṣẹ́gun, láìsí ohun tí mo jẹ tuntun. Mo lọ sí ilé ìwòsàn lẹ́ẹ̀kan tẹ́lẹ̀.","Recurrent angioedema of the lips and tongue with no identifiable trigger, suggesting hereditary angioedema, ACE inhibitor-induced angioedema, or idiopathic allergic aetiology requiring immunological assessment.",LOW
Has your child been complaining of tummy aches before school but feeling fine at weekends?,"Ọmọ mi máa ń sọ pé ikùn rẹ̀ ń dùn ni gbogbo owúrọ̀ ọjọ́ ìkọ́lé. Ní ọjọ́ Àìkú àti Ìṣẹ́gun, ó dára pátápátá. Dọ́kítà kò rí nǹkan.","School-day specific abdominal pain with complete weekend resolution and no organic findings, consistent with functional abdominal pain or school refusal with somatic presentation, requiring psychosocial assessment and school liaison.",LOW
"Have you been able to communicate effectively since your stroke, and has your speech improved?","Lẹ́yìn ìjàǹbá ọpọlọ mi, sísọ ọ̀rọ̀ ti ṣòro. Mo mọ̀ ohun tí mo fẹ́ sọ ṣùgbọ́n àwọn ọ̀rọ̀ kò jáde dáradára. Ó ti yẹ̀ díẹ̀.","Expressive aphasia with preserved comprehension following stroke showing partial spontaneous improvement, requiring formal speech and language therapy assessment to distinguish Broca's aphasia from other aphasia subtypes and guide targeted rehabilitation.",LOW
Have you been having lower back pain and stiffness that is worst first thing in the morning and improves with exercise?,"Ẹ̀hin ìsàlẹ̀ mi máa ń dùn àti jáko ní àárọ̀ owúrọ̀, tó ń pẹ́ fún wákàtí méjì. Ìdárayá ń mú ki ó yẹ̀.","Inflammatory back pain with morning stiffness exceeding one hour improving with exercise, the hallmark of axial spondyloarthropathy such as ankylosing spondylitis, requiring HLA-B27 testing, MRI sacroiliac joints, and rheumatology referral.",LOW
Have you been having panic attacks — sudden episodes of intense fear with racing heart and feeling you might die?,"Ní ìgbà-ìgbà, ìbẹ̀rù tó le máa ń wáyé lójijì. Ọkàn mi ń lu yára yára, mí mi kúrú, mo sì ń gbà gbọ́ pé mo ń kú. Ó máa ń pẹ́ fún ìṣẹ́jú mẹ́wàá.","Recurrent spontaneous panic attacks of ten minutes duration with cardiovascular and respiratory symptoms and a sense of impending death, fulfilling diagnostic criteria for panic disorder requiring cognitive-behavioural therapy and pharmacological management.",LOW
