"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"With the fever, have you had any rash, joint pain, or eyes that are red and watery?","Pẹ̀lú ibà mi, àpá pupa fara hàn lórí ara mi, ìpín mi ń dùn, àti ojú mi ti di pupa àti omi ń jáde nínú.","Fever with maculopapular rash, polyarthralgia, and conjunctivitis forming the classic triad of measles, dengue fever, or chikungunya — all endemic in Nigeria — requiring serology and notifiable disease reporting."
"Alongside the abdominal pain, have you had any shoulder tip pain or pain on breathing deeply?","Bẹ́ẹ̀ ni, orí èjìká mi ọ̀tún ń dùn pẹ̀lú irora ikùn mi. Mí jìnnà tún ń mu irora buru sí i.","Shoulder tip pain with abdominal pain and pleuritic exacerbation indicating diaphragmatic irritation from subphrenic pathology such as liver abscess, ruptured ectopic pregnancy, or free intraperitoneal gas, requiring urgent CT abdomen."
"With the urinary symptoms, have you had any loin pain, fever, or shaking chills?","Pẹ̀lú àìlera ito mi, irora wà ní ẹ̀gbẹ́ ẹ̀hin mi ọ̀tún, ibà, àti ìgbọn. Ó bẹ̀rẹ̀ ní àárọ̀ àná.","Loin pain with fever and rigors accompanying urinary symptoms, the classic presentation of acute pyelonephritis, requiring blood and urine cultures before commencing intravenous antibiotics and assessing for urological complication."
"With the skin rash, have you had any joint swelling, mouth ulcers, or hair loss at the same time?","Papọ̀ pẹ̀lú àpá mi, ìpín mi wú, ọgbẹ́ wà nínú ẹnu mi, àti irun mi ti ń bọ̀ lọ́pọ̀lọpọ̀. Gbogbo wọn wáyé papọ̀.","The triad of rash, arthritis, oral ulceration, and alopecia occurring simultaneously constitutes a multisystem flare of systemic lupus erythematosus requiring ANA, anti-dsDNA, complement levels, and urine protein assessment."
"With the dizziness, have you had any hearing loss, ringing in your ear, or a feeling of fullness in the ear?","Pẹ̀lú orí yípo, etí òsì mi ń rò, gbígbọ́ mi ti dínkù ní ẹ̀gbẹ́ náà, àti ìmọ̀lára kún wà nínú etí mi.","Ménière's tetrad of vertigo, unilateral tinnitus, sensorineural hearing loss, and aural fullness on the same side, fulfilling diagnostic criteria for Ménière's disease requiring audiometry and ENT specialist management with dietary sodium restriction."
"With the cough, have you had any weight loss, night sweats, or swollen glands in your neck?","Pẹ̀lú ikọ́ mi, mo ti tẹ̀nìí, mo ń gbọn ní alẹ́, àti àwọn ẹ̀gbẹ̀ wà ní ọrùn mi tó ń pọ̀. Wọ́n wa papọ̀ fún oṣù mẹ́fà.","The B symptom triad of weight loss, night sweats, and lymphadenopathy accompanying chronic cough over six months, strongly suggesting pulmonary tuberculosis or lymphoma, requiring chest X-ray, sputum AFB smear, and lymph node biopsy."
"With the leg swelling, have you had any shortness of breath when lying flat or waking up breathless at night?","Pẹ̀lú wiwú ẹsẹ̀ mi, mí mi kúrú nígbà tí mo bá dùbúlẹ̀ pẹ̀tẹ́lẹ̀ àti mo máa ń jí ní alẹ́ pẹ̀lú ìkúrú mímí.","Peripheral oedema with orthopnoea and paroxysmal nocturnal dyspnoea constituting the classic triad of decompensated biventricular heart failure, requiring urgent diuresis, BNP measurement, echocardiography, and fluid restriction."
"With the confusion, have you had any fever, stiff neck, or sensitivity to light at the same time?","Ìdàrúdàpọ̀ ọkọ mi wáyé papọ̀ pẹ̀lú ibà, ọrùn tó dì, àti ìmọ̀lẹ̀ tó ń bani lójú. Gbogbo wọn bẹ̀rẹ̀ papọ̀ ní àárọ̀.","Acute confusion with simultaneous fever, meningismus, and photophobia is bacterial meningitis until proven otherwise, requiring immediate blood cultures, empirical ceftriaxone and dexamethasone, and lumbar puncture as soon as safe to perform."
"Does anything make the headache better — lying in a dark room, taking pain relief, or sleeping?","Ìrọ̀lẹ́ ní yàrá òkùnkùn ń mú irora orí mi yẹ̀. Ìmọ̀lẹ̀ àti ariwo ń mú ki ó burú. Oògùn irora ń ràn mí lọ́wọ́ díẹ̀.","Headache relieved by dark quiet environment and partially by analgesia with photophobia and phonophobia, fulfilling the diagnostic criteria for migraine without aura and guiding toward triptan therapy for acute management."
"Does the back pain get better or worse with prolonged sitting at a desk?","Irora ẹ̀hin mi ń burú sí i nígbà tí mo bá jókòó fún wákàtí mẹ́fà lórí àga iṣẹ́. Ìrìn àti ìdárayá ń mú ki ó yẹ̀.","Mechanical back pain worsened by prolonged sitting and relieved by movement and exercise, consistent with lumbar disc derangement or facet joint dysfunction responding to physiotherapy, ergonomic correction, and anti-inflammatory analgesia."
"Does eating anything specific make the abdominal pain worse, and does fasting give you any relief?","Jíjẹ oúnjẹ tó ní ọ̀rá ń mú irora ikùn mi buru sí i lẹ́sẹ̀kẹsẹ̀. Nígbà tí mo bá àwẹ̀, irora ń yẹ̀ ṣùgbọ́n ó ń padà nígbà tí mo bá jẹun.","Post-prandial worsening with fatty food and fasting relief, the classic aggravating and relieving pattern of biliary colic from cholelithiasis, where bile flow stimulated by fatty meals precipitates gallbladder contraction against an obstructing calculus."
"Does the breathlessness improve when you lean forward with your hands on your knees?","Nígbà tí mo bá tẹ̀ iwájú mo sì fi ọwọ́ mi gbe orúkún mi, mí mi ń rọ díẹ̀. Ó jẹ́ ọ̀nà tí mo máa ń lo láti sinmi.","Tripod positioning with orthopnoea relieved by forward lean, a compensatory posture that fixes the accessory muscles of respiration and is characteristic of severe COPD, acute asthma, or any cause of critical respiratory distress."
"Is the joint pain relieved by anti-inflammatory tablets, and if so, within how many hours?","Ibuprofen ń mú irora ìpín mi yẹ̀ ní wákàtí kan. Ó ń dára fún ọjọ́ kan, lẹ́yìn náà ó padà. Paracetamol kò ṣiṣẹ́ kankan.","Rapid complete response to NSAIDs within one hour with poor paracetamol response, characteristic of inflammatory joint disease such as gout or rheumatoid arthritis, where prostaglandin-mediated synovial inflammation drives pain rather than structural joint damage."
"Does applying heat or cold to the area give you any relief, and which one works better?","Omi gbígbóná ń mú irora iṣan ara mi yẹ̀ sí i ju omi tutù lọ. Mo máa ń fi àpótí omi gbígbóná sí ibi náà ní alẹ́.","Heat-responsive musculoskeletal pain indicating muscle spasm or chronic inflammatory joint disease where heat promotes muscle relaxation and analgesia, in contrast to acute joint injury or gout where cold application reduces acute inflammatory hyperaemia."
"Does the skin itching get worse after a hot shower or bath, and how quickly does it start?","Ín-ín mi ń bẹ̀rẹ̀ ní ìṣẹ́jú méjì lẹ́yìn tí mo bá jáde nínú omi gbígbóná. Ó ń burú jù lẹ́yìn ìwẹ̀ gbígbóná.","Aquagenic pruritus triggered within minutes of hot water exposure without a primary skin lesion, a distinctive pattern associated with polycythaemia vera and requiring full blood count with red cell mass measurement."
"Does the heartburn get worse when you bend over or lift heavy objects?","Nígbà tí mo bá tẹ̀ orí mi sísàlẹ̀ láti gba nǹkan, irora iná ń wáyé nínú àyà mi àti ọfun mi lẹ́sẹ̀kẹsẹ̀.","Positional gastro-oesophageal reflux worsened by forward bending due to increased intra-abdominal pressure overcoming the lower oesophageal sphincter, a hallmark of hiatus hernia-associated reflux requiring endoscopy and proton pump inhibitor therapy."
"Does the dizziness get worse when you turn over in bed or look up at the ceiling?","Nígbà tí mo bá yí ara mi padà ní ibùsùn tàbí gbé orí mi wò ní ẹ̀gbẹ́ ọ̀tún, orí mi máa ń yípo lẹ́sẹ̀kẹsẹ̀ fún ìṣẹ́jú mẹ́wa.","Positional vertigo triggered by specific head movements in bed and lasting under one minute, fulfilling the Dix-Hallpike diagnostic criteria for benign paroxysmal positional vertigo from canalith displacement, treated with the Epley repositioning manoeuvre."
"Does the cough stop when you drink cold water, or does cold air make it worse?","Omi tutù ń mú ikọ́ mi dáwọ̀ fún ìṣẹ́jú díẹ̀. Ṣùgbọ́n afẹ́fẹ́ tutù ní ìta ń mú ki ikọ́ mi le sí i.","Cold water transiently suppressing cough while cold air exacerbates it, indicating airway hyperreactivity and thermal sensitivity consistent with cough-variant asthma or laryngeal hypersensitivity requiring bronchial provocation testing."
"How long have you had this cough — days, weeks, or months — and has it been getting better or worse?","Ikọ́ mi ti wà fún oṣù mẹ́ta. Ó ti ń burú síwájú sí i ní gbogbo ọ̀sẹ̀ tí ó kọjá. Mi ò gbà pé yóò pẹ́ tó bẹ́ẹ̀.","Chronic productive cough of three months duration with progressive worsening, meeting the definition of chronic cough and mandating investigation for tuberculosis, bronchiectasis, and malignancy regardless of the absence of constitutional symptoms."
"How long have you been experiencing this chest pain — is this the first time, or has it happened before?","Irora àyà mi ti wà fún ọjọ́ méjì. Mo ti ní irora bẹ́ẹ̀ lẹ́ẹ̀mejì ṣáájú ṣùgbọ́n kò le bíi ìgbà yìí. Ìgbà yìí ni ó le jù.","Recurrent chest pain with the current episode being the most severe, indicating a possible acute coronary syndrome superimposed on prior stable angina, requiring immediate ECG, cardiac biomarkers, and risk stratification for unstable angina or NSTEMI."
"How long have you had the swelling in your abdomen — has it been there for years or is it new?","Ikùn mi ti ń pọ̀ sí i díẹ̀díẹ̀ fún ọdún méjì. Kò wáyé lójijì. Mo rò pé o jẹ́ nítorí oúnjẹ ṣáájú.","Slowly progressive abdominal distension over two years attributed to diet by the patient, but the chronicity and insidious onset suggest hepatic cirrhosis with ascites, portal hypertension, or an intra-abdominal malignancy requiring urgent imaging and ascitic tap."
"How long have the headaches been going on, and have you needed to take more painkillers over time to get the same effect?","Orí mi ti ń fọ̀ fún ọdún kan. Mo ti bẹ̀rẹ̀ pẹ̀lú tábùlẹ́tì méjì ní ọjọ́ kan ṣùgbọ́n báyìí mo nílò mẹ́fà láti gba ìtura kan náà.","Escalating analgesic requirement over one year for headache control, fulfilling the diagnostic criteria for medication overuse headache where frequent analgesia perpetuates a cycle of rebound headaches, requiring analgesic withdrawal and preventive therapy."
"How long have you had difficulty falling asleep, and was there anything that happened around the time it started?","Ìṣòro ìsùn mi bẹ̀rẹ̀ lẹ́yìn tí mo pàdánù iṣẹ́ mi ní oṣù mẹ́fà sẹ́yìn. Láàárọ̀ tí ó tó ìyẹn, mo sùn dáradára.","Onset of insomnia temporally linked to job loss six months ago, establishing a psychosocial precipitant consistent with adjustment disorder or major depressive episode, guiding treatment toward cognitive-behavioural therapy for insomnia alongside psychosocial support."
"How long have you had this skin rash, and does it look the same as when it first appeared?","Àpá náà ti wà fún ọ̀sẹ̀ mẹ́fà. Ó ti yí padà láti irú ìwọ̀ pupa díẹ̀ sí ẹ̀gbọ̀n tó gbẹ tó ń yọ báyìí.","Evolving rash over six weeks with morphological change from erythematous macules to hyperkeratotic plaques, indicating a dynamic process such as psoriasis guttate evolving to plaque type, or a mycosis requiring skin biopsy to exclude fungal infection or cutaneous lymphoma."
"How long have you been experiencing this weakness in your hand, and is it affecting your dominant hand?","Ọwọ́ ọ̀tún mi ti ń di àìlera fún oṣù mẹ́fà. Ó ń ṣe mí ìṣòro láti kọ àti mu nǹkan. Ọwọ́ ọ̀tún ni mo ń lo fún gbogbo nǹkan.","Progressive dominant hand weakness over six months causing writing and grip dysfunction, indicating a focal neurological lesion affecting the corticospinal tract or peripheral nerve supply to the hand requiring MRI brain and cervical spine, nerve conduction studies, and EMG."
"How long have you had blood in your urine, and has the amount been increasing?","Ẹjẹ̀ ti wà nínú ito mi fún oṣù méjì. Ní ìbẹ̀rẹ̀ díẹ̀ ni mo rí i ṣùgbọ́n báyìí ito mi pupa pátápátá ní ìgbà-ìgbà.","Progressive haematuria over two months with increasing blood volume, a red flag symptom for urothelial malignancy of the bladder, ureter, or renal pelvis, requiring urgent cystoscopy, upper tract imaging, and urine cytology."
"How long have you had this lump, and has anyone examined it before?","Èso yìí wà fún oṣù mẹ́fa. Kò sí ẹni tó wo rẹ̀ rárá. Mo rò pé yóò lọ fúnra rẹ̀ ṣùgbọ́n kò lọ.","Persistent lump of six months duration with no prior clinical assessment, exceeding the two-week urgent referral threshold for unexplained lumps, requiring immediate physical examination, imaging, and biopsy as appropriate to the anatomical site."
"How long have you been noticing this change in your bowel habit, and is it associated with any weight loss?","Ìgbẹ́ mi ti yí padà fún oṣù mẹ́fà. Mo ti tẹ̀nìí pẹ̀lú rẹ̀ láìgbìyànjú. Ó ń jẹ mí ìbànújẹ́ gan-an.","Six months of altered bowel habit with concurrent unintentional weight loss constituting dual red flag symptoms for colorectal carcinoma, requiring urgent colonoscopy and CT staging regardless of patient age or absence of rectal bleeding."
"How long have you had this low mood, and have there been any periods in between when you felt normal?","Inú mi ti ń dùn fún oṣù mẹ́rin láìsí ìsinmi. Ko sí ọjọ́ kan tí mo ti nímọ̀lára dáradára nínú ìgbà yẹn.","Persistent depressed mood for four months without euthymic intervals, meeting duration criteria for a major depressive episode and requiring PHQ-9 scoring, suicide risk assessment, and antidepressant or psychological therapy initiation."
"How long have you had this persistent dry cough since starting your blood pressure tablet?","Mo bẹ̀rẹ̀ oògùn ìpàná ẹjẹ̀ tuntun ní oṣù mẹ́fà sẹ́yìn. Ikọ́ gbígbẹ mi bẹ̀rẹ̀ ní ọ̀sẹ̀ méjì lẹ́yìn. Ko dára rárá.","ACE inhibitor-induced dry cough developing two weeks after initiation and persisting for six months, the most common side effect of this drug class occurring in up to twenty percent of patients, requiring switch to an angiotensin receptor blocker as an alternative."
"How long have you had difficulty swallowing, and at what point did it start affecting liquids as well as solids?","Gbígbé ohun tó le ti ṣòro fún oṣù méjì. Ní ọ̀sẹ̀ kan sẹ́yìn, omi tún bẹ̀rẹ̀ sí ṣòro. Ó ń burú gan-an báyìí.","Progressive dysphagia to solids for two months with recent onset dysphagia to liquids, the alarming temporal progression of complete oesophageal obstruction from malignancy or severe stricture, requiring emergency endoscopy to prevent complete obstruction and aspiration."
"How long have you had this ringing in your ear, and does it ever stop completely?","Etí mi ń rò fún oṣù mẹ́fà. Ko dáwọ̀ rárá, ó wà ní ìgbà gbogbo. Ó ti ń dẹ́kun ìsùn mi.","Constant unremitting tinnitus for six months causing sleep disruption, indicating chronic rather than episodic pathology, requiring audiological assessment for sensorineural hearing loss, MRI of the internal auditory meati to exclude acoustic neuroma, and tinnitus retraining therapy."
"How long has the child had this fever, and have there been any days when the temperature completely returned to normal?","Ọmọ mi ní ibà fún ọjọ́ mẹ́wàá. Ní ọjọ́ mẹ́ta, o dára díẹ̀ ṣùgbọ́n ibà padà ní ọjọ́ kẹrin. Ko parí rárá.","Fever of ten days duration with incomplete resolution and relapse on day four, indicating an inadequately treated bacterial infection, drug-resistant malaria, typhoid fever, or a non-infectious fever from juvenile idiopathic arthritis or malignancy requiring systematic investigation."
"Can you point to exactly where the pain is worst — does it stay in one spot or move around?","Irora náà wà ní ibi tó tọ̀ yìí nìkan, ní ẹ̀gbẹ́ ọ̀tún ikùn mi. Ko ń rìn sí ibi mìíràn rárá.","Fixed point tenderness in the right iliac fossa without radiation, distinguishing appendicitis from the migratory pain of mesenteric adenitis or the radiating colic of ureteric stone, guiding toward surgical assessment and localised ultrasound imaging."
"Is the numbness confined to the tips of your fingers, the whole hand, or does it go up your arm?","Ìmọ̀ ọwọ́ mi kò wà ní àwọn ìlà ọwọ́ mi mẹ́ta, tó ń rọ sínu ọwọ́ mi ṣùgbọ́n kò gùn sínu apá mi.","Numbness confined to the median nerve distribution of the first three fingers and palm without proximal extension, the anatomical distribution of carpal tunnel syndrome, confirmed by Tinel's and Phalen's tests and nerve conduction studies."
"Is the swelling in the middle of your neck, to one side, or is it behind your ear?","Ìwọ̀n náà wà ní ẹ̀gbẹ́ ọ̀tún ọrùn mi, ní ìsàlẹ̀ ẹrẹ̀kẹ́. Ko wà ní àárín tàbí ẹ̀yìn etí.","Lateral neck lump below the mandible in the anterior triangle, a location consistent with lymphadenopathy, branchial cyst, or parotid tail tumour, requiring ultrasound and fine needle aspiration cytology to characterise the lesion."
"Is the pain specifically over the shin bone, or is it in the calf muscle behind the leg?","Irora wà ní iwájú ẹsẹ̀ mi, lórí eegun funrararẹ̀. Kò wà ní ẹ̀hin ẹsẹ̀. Ó ń dùn nígbà tí mo bá tẹ eegun náà.","Anterior shin bone tenderness on direct palpation distinguishing tibial stress fracture from the calf muscle pain of deep vein thrombosis or gastrocnemius strain, requiring plain X-ray and MRI for suspected stress fracture in an athletic patient."
"Is the rash on your palms and soles as well as on the rest of your body?","Bẹ́ẹ̀ ni, àpá náà wà lórí àtẹ̀lẹ ọwọ́ mi àti àtẹ̀lẹ ẹsẹ̀ mi pẹ̀lú. Kì í ṣe nínú ẹnu mi.","Palmoplantar involvement of a rash is a distinctive distribution occurring in secondary syphilis, reactive arthritis, hand-foot-and-mouth disease, and erythema multiforme, each requiring distinct investigation and management."
"Is the weakness affecting the muscles closer to your body, like your hips and shoulders, or the ones further away like your hands and feet?","Ìbàdí mi àti èjìká mi ni ó ń ṣe mí ìṣòro jù. Mo ń rí ìṣòro láti dìde àga àti gbé ọwọ́ mi ga. Ọwọ́ mi fúnrararẹ̀ ṣiṣẹ́ dáradára.","Proximal myopathy with preserved distal function, the pattern of inflammatory myopathy such as polymyositis, dermatomyositis, or metabolic myopathy from hypothyroidism or statin use, distinguished from distal weakness of peripheral neuropathy."
"Is the abdominal tenderness in the upper middle, right upper, or lower right area of the abdomen?","Nígbà tí dọ́kítà bá tẹ ìsàlẹ̀ àyà mi ní àárín, irora ń wáyé lẹ́sẹ̀kẹsẹ̀. Ó kò dùn ní ẹ̀gbẹ́ tàbí ìsàlẹ̀.","Epigastric tenderness on deep palpation without lateral or lower quadrant involvement, consistent with gastric or duodenal pathology, pancreatitis, or hepatitis, guiding toward upper endoscopy, amylase, lipase, and liver function testing."
"Is the joint pain in the small joints of your fingers, large joints like your knees, or both?","Àwọn ìpín kéékèéké ní ọwọ́ mi méjèéjì ni ó ń dùn jù. Ó pàápàá buru nígbà owúrọ̀. Orúkún mi ń dùn díẹ̀ pẹ̀lú.","Symmetrical small joint polyarthritis of the hands with morning stiffness and secondary large joint involvement, the classic distribution of rheumatoid arthritis requiring rheumatoid factor, anti-CCP antibody, and X-ray of the hands and feet."
"Is the pain in your lower back, in the buttock, or does it start in one place and shoot to the other?","Irora bẹ̀rẹ̀ ní ẹ̀hin ìsàlẹ̀ mi, lẹ́yìn náà ó ń rọ sínú ìdí mi ọ̀tún àti sísàlẹ̀ ẹsẹ̀ mi.","Low back pain radiating through the buttock and down the leg in the sciatic nerve distribution, consistent with lumbar disc herniation at L4/L5 or L5/S1 compressing the nerve root, requiring MRI lumbar spine and physiotherapy assessment."
"Is the breast lump in the upper outer area, near the nipple, or in the armpit?","Èso náà wà ní ìhà ìgbẹ́yìn ìsàlẹ̀ ọmú mi òsì, jìnnà sí ọ̀tọ̀ ọmú. Ko wà ní àgbègbè ẹ̀gbẹ̀ ọwọ́.","Lower outer quadrant breast lump, a less common location than the upper outer quadrant where most breast cancers occur, but requiring the same urgent triple assessment protocol with clinical examination, ultrasound or mammography, and core biopsy."
"Have you been told to fast before this blood test, and how many hours have you been without food?","Wọ́n sọ fún mi pé kí n má jẹun ṣáájú ìdánwò. Mo ti àwẹ̀ fún wákàtí mẹ́wàá. Omi péré ni mo mu.","Appropriate ten-hour fast prior to fasting lipid profile and glucose testing, confirming valid pre-analytical conditions for accurate metabolic panel interpretation and cardiovascular risk assessment."
"Have you brought all your medications with you today so we can review what you are taking?","Mo mú àwọn oògùn mi wá, ṣùgbọ́n àwọn méjì tí mi ò mọ̀ orúkọ wọn. Dọ́kítà mìíràn ni ó fún mi ní wọn ní ilé ìwòsàn àdúgbò.","Incomplete medication knowledge with two unidentified drugs from an external prescriber, highlighting polypharmacy risk and the importance of brown bag medication review to identify duplications, interactions, and inappropriate prescribing."
"Have you had any reaction to latex gloves or rubber products, such as balloons or condoms?","Nígbà tí wọ́n bá fi ibọwọ́ rọ́bà kan mi ní ilé ìwòsàn, ọwọ́ mi máa ń yọ àti bínú. Mo ti gbàgbé láti sọ fún dọ́kítà.","Undisclosed latex allergy with prior contact urticaria requiring documentation before any surgical procedure, gynaecological examination, or dental procedure to prevent intraoperative anaphylaxis and ensure latex-free equipment preparation."
"Have you signed a consent form for this procedure, and do you fully understand what is going to happen?","Wọ́n fún mi ní fọ́ọ̀mù kan láti fọwọ́ sí. Mo fọwọ́ sí i ṣùgbọ́n mi ò kà á nítorí ọ̀rọ̀ Gẹ̀ẹ́sì ṣòro fún mi. Mi ò tíì béèrè ìbéèrè kankan.","Consent obtained without adequate comprehension due to language barrier and health literacy limitation, constituting invalid informed consent and requiring a Yoruba-language explanation of the procedure, risks, benefits, and alternatives before proceeding."
"Have you eaten or drunk anything since midnight, including water, sweets, or chewing gum?","Mo mu omi díẹ̀ ní àárọ̀ ìmọ́lẹ̀ nítorí èbì mi pọ̀. Mo tún jẹ ọ̀pẹ̀ kéékèéké ṣáájú kí n tó wá.","Pre-operative fasting protocol violation with water and food intake on the morning of surgery, requiring anaesthetic team notification to assess aspiration risk and determine whether to proceed, delay, or modify the anaesthetic technique."
"Have you had any problems with anaesthesia before, such as waking up during an operation or feeling very sick afterwards?","Ní iṣẹ́ abẹ àkọ́kọ́ mi, wọ́n sọ pé mo jí nígbà tí wọ́n ṣì ń ṣiṣẹ́ lórí mi. Mo ń gbọ́ ohùn wọn ṣùgbọ́n kò lè sọ rẹ̀. Ó jẹ mí ẹ̀rù.","Prior intraoperative awareness under anaesthesia constituting a critical anaesthetic history requiring depth of anaesthesia monitoring with BIS or entropy during all subsequent procedures and pre-operative psychological support for anaesthesia-related trauma."
"Have you been told you have a difficult airway or that a previous anaesthetist had trouble putting a breathing tube in?","Dọ́kítà àánì ní ilé ìwòsàn mìíràn sọ pé ọ̀nà mímí mi ṣòro. Ó gbìyànjú lẹ́ẹ̀mẹ́fà ṣáájú kí ó tó ṣẹ̀ṣẹ̀ ṣaṣeyọrí.","Previously documented difficult intubation requiring six attempts, constituting a critical airway alert requiring advance notification to the anaesthetic team, awake fibreoptic intubation planning, and a difficult airway cart at the bedside before any sedation is administered."
"Have you had a blood transfusion before, and did you have any reaction such as shivering, fever, or rash during or after it?","A ṣe mi àjẹjẹ̀ lẹ́ẹ̀mejì. Ní ìgbà kejì, mo bẹ̀rẹ̀ ní ìgbọn àti ibà ní ìgbà tí ẹjẹ̀ ń wọ ara mi. Wọ́n dáwọ̀ rẹ̀.","Previous febrile non-haemolytic transfusion reaction requiring cessation, mandating pre-medication with antipyretics and antihistamines before future transfusions, leukodepleted blood product use, and careful monitoring at the bedside during transfusion."
"Have you been told you have a heart condition that would require antibiotics before dental or surgical procedures?","Dọ́kítà ọkàn mi sọ pé mo nílò oògùn àkóràn ṣáájú gbogbo iṣẹ́ abẹ nítorí àrùn àwọ ọkàn mi. Mo gbàgbé láti sọ fún dọ́kítà rẹ̀yìí.","Undisclosed cardiac valvular disease requiring antibiotic endocarditis prophylaxis before invasive procedures, a critical safety omission that must be addressed before proceeding with any planned dental or surgical intervention."
"How long have you been waiting to be seen today, and have your symptoms changed since you arrived?","Mo ti dúró fún wákàtí mẹ́ta. Irora àyà mi ti bẹ̀rẹ̀ sí tan sí apá òsì mi lẹ́yìn tí mo dé. Ó le sí i ju ìgbà tí mo wà síta lọ.","Symptom deterioration during a three-hour wait with new radiation of chest pain to the left arm, indicating a possible acute coronary syndrome evolution requiring immediate triage escalation to a resuscitation area rather than continued waiting."
"Do you have any advance directive or living will that tells us what treatment you would or would not want?","Mi ò tíì rò nípa ìyẹn rárá. Mo kò mọ̀ pé ó ṣeéṣe. Ṣùgbọ́n bí mo bá di àìsí, mi ò fẹ́ kí wọ́n máa gbé mi láàárọ̀ pẹ̀lú ẹrọ.","No existing advance directive with expressed preference against mechanical life support, requiring formal advance care planning documentation witnessed and recorded in the medical notes before any acute deterioration renders the patient unable to participate."
"Have you brought someone with you today who can help translate or support you during the consultation?","Ọmọ mi wà pẹ̀lú mi níta. Ó sọ Gẹ̀ẹ́sì dáradára àti mọ̀ àrùn mi. Mo fẹ́ kí ó wọlé pẹ̀lú mi.","Patient accompanied by a bilingual adult child requesting their presence during consultation, which should be facilitated while ensuring the patient is also asked about any concerns they wish to raise privately, protecting confidentiality within the supported consultation."
"Have you been given a diagnosis today that was unexpected or that you are struggling to understand?","Dọ́kítà sọ pé mo ní àrùn jẹjẹrẹ. Mo ti ń gbọ́ ọ̀rọ̀ rẹ̀ ṣùgbọ́n mi ò tíì gbà á. Mo bẹ̀rù pupọ̀ àti mi ò mọ̀ ohun tó máa ṣẹlẹ̀ sí mi.","Acute psychological response to a new cancer diagnosis with disbelief and fear, requiring a structured breaking bad news approach with adequate time, written information, emotional support, follow-up appointment within forty-eight hours, and oncology nurse specialist contact details."
"Have you been discharged from hospital before and then had to come back within a few days for the same problem?","Wọ́n jí mi kúrò ní ilé ìwòsàn ní ọjọ́ mẹ́ta sẹ́yìn. Irora mi kò parí, àti báyìí ó ti le sí i. Mo wá padà.","Unplanned readmission within three days of discharge with worsening of the original presenting complaint, indicating premature discharge or inadequate treatment, requiring root cause analysis of the discharge decision and escalated management of the current presentation."
"Have you been given a follow-up appointment after today, and do you know what it is for?","Wọ́n fún mi ní kàdì pẹ̀lú ọjọ́ tó kọjá. Ọjọ́ ìpàdé mi ti kọjá ní ọ̀sẹ̀ méjì. Ko sí ẹni tó pè mi padà.","Missed follow-up appointment without recall notification two weeks past the scheduled date, representing a care gap that may result in failure to act on pending investigation results, medication review needs, or disease monitoring, requiring immediate rescheduling and result review."
"Have you ever been admitted to a psychiatric ward, and did you find the experience helpful or harmful?","Mo wọ ilé ìwòsàn ọpọlọ lẹ́ẹ̀kan ní ọdún mẹ́ta sẹ́yìn. Mo gbà pé ó ràn mí lọ́wọ́ ṣùgbọ́n ìrírí náà ń ṣe mí ìbànújẹ́ nígbà tí mo bá rò nípa rẹ̀.","Prior inpatient psychiatric admission experienced as helpful but traumatic, relevant to current treatment planning as prior admission may create a barrier to accepting voluntary inpatient care if needed, requiring trauma-informed approach to psychiatric management."
"Have you ever left hospital against medical advice, and what were the circumstances?","Bẹ́ẹ̀ ni, mo jáde kúrò ilé ìwòsàn ní àárọ̀ ọjọ́ kan nítorí àwọn ọmọ mi kò ní ẹni tó máa tọ́jú wọn. Dọ́kítà sọ pé kò wùn ú.","Discharge against medical advice due to childcare responsibilities rather than disagreement with treatment, a social barrier to care completion requiring social work referral, childcare support identification, and non-judgmental re-engagement to address the underlying cause."
"Have you been told your test result is abnormal and been referred somewhere, but you have not gone yet?","Wọ́n fún mi ní lẹ́tà ìtọ́ka sí ìwé ọpọlọ ní ọdún kan sẹ́yìn. Mi ò lọ rárá. Mo gbà pé yóò dára fúnra rẹ̀.","Unfollowed psychiatric referral one year ago for an abnormal result, representing a significant care gap where the underlying condition has been unmanaged, requiring understanding of the barriers to attendance and facilitated re-referral with support."
"Do you have a medical alert bracelet or card for any serious condition, and have you brought it today?","Mo ní ìwé tó sọ pé mo ní àtọ̀gbẹ̀ àti àléèjì pẹ̀nísílíìnì ṣùgbọ́n mo gbàgbé rẹ̀ sílẹ̀. Mo máa ń gbàgbé rẹ̀ ní ìgbà-ìgbà.","Medical alert card for diabetes and penicillin allergy not carried to the appointment, creating a risk for inadvertent beta-lactam prescribing in an emergency when the patient may be unable to communicate their allergy, reinforcing the importance of MedicAlert documentation in hospital records."
"Have you had your height and weight measured recently, and do you know your body mass index?","Wọ́n wọn mi ní ọdún kan sẹ́yìn. Dọ́kítà sọ pé mo wúwo jù ṣùgbọ́n kò sọ iye rẹ̀ tàbí ohun tó túmọ̀ sí.","Obesity identified one year ago without BMI communication or structured weight management referral, a missed preventive opportunity requiring BMI recalculation, waist circumference measurement, and referral to a structured weight management programme."
